Thread,Event,AverageMsPerFrame,TimingType
GameThread,GameThreadTime,27.392,critical-path
GameThread,EndPhysicsWait,9.907,exclusive
GameThread,CharacterMovement,5.543,exclusive
GameThread,Animation,3.703,exclusive
GameThread,AIDecision,0.076,exclusive
GameThread,AttackSweep,0.007,exclusive
RenderThread,RenderThreadCriticalPath,32.271,critical-path
RenderThread,WaitForTasks,13.280,exclusive
RenderThread,UpdateAllPrimitiveSceneInfos,11.170,inclusive
RenderThread,ShadowDepths,2.810,exclusive
RenderThread,GatherDynamicRayTracingInstances,2.350,exclusive
RHIThread,BuildAccelerationStructureBottomLevel,9.860,exclusive
RHIThread,SubmissionQueueProcess,3.560,exclusive
RHIThread,ShadowDepths,2.770,exclusive
RHIThread,SkinnedGeometryBuildBLAS,1.490,exclusive
Worker,ShadowDepths,2.780,exclusive
Worker,RayTracingMeshBatchTask,2.720,exclusive
Worker,LumenSceneLighting,1.570,exclusive
Worker,LumenScreenProbeGather,1.490,exclusive
GPU,GPUTime,13.669,total
GPU,DeferredLighting,3.300,inclusive
GPU,ShadowDepths,2.780,exclusive
GPU,LumenSceneLighting,1.560,exclusive
GPU,SkinnedGeometryBuildBLAS,1.430,exclusive
GPU,LumenScreenProbeGather,1.390,exclusive
GPU,PostProcessing,1.050,inclusive
GPU,BasePass,0.720,exclusive
GPU,NaniteVisBuffer,0.360,exclusive
